Variant,Brand,Status,Message
Toyota PROACE Verso M 50 kWh,Toyota,Imported,
Peugeot e-Traveller Compact 50 kWh,Peugeot,Imported,
Toyota PROACE Shuttle L 50 kWh,Toyota,Imported,
Peugeot e-Traveller Long 50 kWh,Peugeot,Imported,
Porsche Taycan Turbo Sport Turismo,Porsche,Imported,
Mercedes-Benz EQV 250 Extra-Long,Mercedes-Benz,Imported,
Opel Vivaro-e Combi S 50 kWh,Opel,Imported,
Smart ForTwo Cabrio Electric Drive,Smart,Imported,
Citroen e-SpaceTourer XL 50 kWh,Citroen,Imported,
Fiat E-Ulysse L2 50 kWh,Fiat,Imported,
Peugeot e-Expert Combi Long 50 kWh,Peugeot,Imported,
Fiat E-Ulysse L3 50 kWh,Fiat,Imported,
Opel Zafira-e Life S 50 kWh,Opel,Imported,
Tesla Model X Ludicrous Performance,Tesla,Imported,
Mercedes-Benz EQE SUV 300,Mercedes-Benz,Imported,
Ford Mustang Mach-E SR AWD,Ford,Imported,
Porsche Taycan 4S Plus Sport Turismo,Porsche,Imported,
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,Mercedes-Benz,Imported,
Toyota PROACE Shuttle M 50 kWh,Toyota,Imported,
Citroen e-SpaceTourer XS 50 kWh,Citroen,Imported,
Tesla Model X Performance,Tesla,Imported,
Toyota PROACE Shuttle L 75 kWh,Toyota,Imported,
Toyota PROACE Shuttle M 75 kWh,Toyota,Imported,
Opel Vivaro-e Combi M 50 kWh,Opel,Imported,
Peugeot e-Traveller L3 50 kWh,Peugeot,Imported,
Audi e-tron Sportback 50 quattro,Audi,Imported,
Citroen e-Jumpy Combi M 50 kWh,Citroen,Imported,
Toyota Proace City Verso Electric L2 50 kWh,Toyota,Imported,
Ford Mustang Mach-E SR RWD,Ford,Imported,
Citroen e-Jumpy Combi XS 50 kWh,Citroen,Imported,
Kia e-Soul 39 kWh,Kia,Imported,
Porsche Taycan Turbo Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-Jumpy Combi XL 50 kWh,Citroen,Imported,
Opel Zafira-e Life M 75 kWh,Opel,Imported,
Citroen e-SpaceTourer XL 75 kWh,Citroen,Imported,
Opel Zafira-e Life L2 50 kWh,Opel,Imported,
Ford Mustang Mach-E SR AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 Sportback e-tron 35,Audi,Imported,
Porsche Taycan 4S Sport Turismo,Porsche,Imported,
Peugeot e-Expert Combi Compact 50 kWh,Peugeot,Imported,
Opel Zafira-e Life M 50 kWh,Opel,Imported,
Opel Zafira-e Life L3 50 kWh,Opel,Imported,
Mercedes-Benz EQV 250 Long,Mercedes-Benz,Imported,
Toyota PROACE Verso L 50 kWh,Toyota,Imported,
Tesla Model X P90DL,Tesla,Imported,
Fiat E-Ulysse L3 75 kWh,Fiat,Imported,
Porsche Taycan Turbo S Sport Turismo,Porsche,Imported,
Opel Zafira-e Life L 50 kWh,Opel,Imported,
